date,site,concentration,abs,soil_g_dry,extractant_ml
10/21/25,Arroyo,,0.3481,1.6129,15
10/21/25,Arroyo,,0.4516,1.6129,15
10/21/25,Arroyo,,0.4008,1.6129,15
10/21/25,Hills,,3.7477,1.6307,15
10/21/25,Hills,,3.5636,1.6307,15
10/21/25,Hills,,3.4582,1.6307,15
10/21/25,Hills,,3.4993,1.6307,15
10/21/25,Hills,,2.8784,1.6307,15
10/21/25,Hills,,1.9601,1.6307,15
10/21/25,Hills,,1.7854,1.6307,15
10/21/25,Hills,,1.5537,1.6307,15
10/21/25,Harmon,,2.3084,1.7068,15
10/21/25,Harmon,,2.5408,1.7068,15
10/21/25,Harmon,,2.6285,1.7068,15
10/21/25,Harmon,,3.227,1.7068,15
10/21/25,Harmon,,2.8423,1.7068,15
10/21/25,Harmon,,2.6823,1.7068,15
10/21/25,Harmon,,2.7091,1.7068,15
10/21/25,Harmon,,2.6846,1.7068,15
10/21/25,Willoughby,,0.4478,1.6791,15
10/21/25,Willoughby,,0.5247,1.6791,15
10/21/25,Willoughby,,0.832,1.6791,15
10/21/25,Willoughby,,0.444,1.6791,15
10/21/25,Willoughby,,0.5139,1.6791,15
10/21/25,Willoughby,,0.4446,1.6791,15
10/21/25,Willoughby,,0.4805,1.6791,15
10/21/25,Willoughby,,0.4545,1.6791,15
10/16/25,standard,5,2.97,0,
10/16/25,standard,2.5,1.8469,0,
10/16/25,standard,1.25,1.0744,0,
10/16/25,standard,0.625,0.6529,0,
10/16/25,standard,0.3125,0.0985,0,
10/16/25,standard,0.1563,0.2773,0,
10/16/25,standard,0.0781,0.223,0,
10/16/25,standard,0.0391,0.1968,0,
10/16/25,standard,0.0195,0.1687,0,
10/16/25,blank,0,0.1655,0,
10/16/25,blank,0,0.0975,0,
10/16/25,blank,0,0.149,0,
10/16/25,blank,0,0.1642,0,
10/16/25,blank,0,0.1503,0,
10/16/25,blank,0,0.1522,0,
10/16/25,blank,0,0.1491,0,
10/16/25,Franklin,,3.0554,1.6893,15
10/16/25,Franklin,,3.5418,1.6893,15
10/16/25,Franklin,,3.6361,1.6893,15
10/16/25,Franklin,,3.5639,1.6893,15
10/16/25,Franklin,,3.61,1.6893,15
10/16/25,Franklin,,3.1858,1.6893,15
10/16/25,Franklin,,3.5221,1.6893,15
10/16/25,Franklin,,3.8535,1.6893,15
10/16/25,Fryman,,3.2853,1.8012,15
10/16/25,Fryman,,3.1576,1.8012,15
10/16/25,Fryman,,2.5791,1.8012,15
10/16/25,Fryman,,2.2389,1.8012,15
10/16/25,Fryman,,1.6888,1.8012,15
10/16/25,Fryman,,2.2717,1.8012,15
10/16/25,Fryman,,1.5332,1.8012,15
10/16/25,Fryman,,1.9259,1.8012,15
10/16/25,westridge,,2.8964,1.766,15
10/16/25,westridge,,2.1389,1.766,15
10/16/25,westridge,,2.445,1.766,15
10/16/25,westridge,,1.4771,1.766,15
10/16/25,westridge,,1.8136,1.766,15
10/16/25,westridge,,2.7276,1.766,15
10/16/25,westridge,,1.8141,1.766,15
10/16/25,westridge,,1.7326,1.766,15
10/16/25,Elyria,,2.8888,1.7599,15
10/16/25,Elyria,,1.7983,1.7599,15
10/16/25,Elyria,,2.0338,1.7599,15
10/16/25,Elyria,,1.5043,1.7599,15
10/16/25,Elyria,,1.7166,1.7599,15
10/16/25,Elyria,,1.9897,1.7599,15
10/16/25,Elyria,,1.5852,1.7599,15
10/16/25,Elyria,,1.4918,1.7599,15
10/16/25,Ballona,,2.0481,1.7643,15
10/16/25,Ballona,,2.0488,1.7643,15
10/16/25,Ballona,,1.9476,1.7643,15
10/16/25,Ballona,,2.1501,1.7643,15
10/16/25,Ballona,,2.0948,1.7643,15
10/16/25,Ballona,,2.1472,1.7643,15
10/16/25,Ballona,,2.0019,1.7643,15
10/16/25,Ballona,,2.2867,1.7643,15
10/16/25,BigRock,,2.5194,1.6275,15
10/16/25,BigRock,,2.3849,1.6275,15
10/16/25,BigRock,,2.4847,1.6275,15
10/16/25,BigRock,,1.6266,1.6275,15
10/16/25,BigRock,,1.993,1.6275,15
10/16/25,BigRock,,2.8173,1.6275,15
10/16/25,BigRock,,1.619,1.6275,15
10/16/25,BigRock,,2.4654,1.6275,15
10/16/25,Arroyo,,0.3572,1.6851,15
10/16/25,Arroyo,,0.9259,1.6851,15
