date,site,concentration,abs,soil_g_dry,extractant_ml
10/16/25,Elyria,,2.0789,1.7599,15
10/16/25,Elyria,,1.8705,1.7599,15
10/16/25,Elyria,,1.9483,1.7599,15
10/16/25,Elyria,,2.0236,1.7599,15
10/16/25,Elyria,,2.0051,1.7599,15
10/16/25,Ballona,,1.8932,1.7643,15
10/16/25,Ballona,,2.0614,1.7643,15
10/16/25,Ballona,,1.9583,1.7643,15
10/16/25,Ballona,,1.9254,1.7643,15
10/16/25,Ballona,,1.9848,1.7643,15
10/16/25,Ballona,,1.9625,1.7643,15
10/16/25,Ballona,,1.8771,1.7643,15
10/16/25,Ballona,,1.9499,1.7643,15
10/16/25,BigRock,,1.6715,1.6275,15
10/16/25,BigRock,,1.7332,1.6275,15
10/16/25,BigRock,,1.4126,1.6275,15
10/16/25,BigRock,,1.6283,1.6275,15
10/16/25,BigRock,,1.6894,1.6275,15
10/16/25,BigRock,,1.9745,1.6275,15
10/16/25,BigRock,,1.8617,1.6275,15
10/16/25,BigRock,,1.7931,1.6275,15
10/16/25,Arroyo,,0.8561,1.6851,15
10/16/25,Arroyo,,0.6143,1.6851,15
10/16/25,Arroyo,,0.8894,1.6851,15
10/16/25,Arroyo,,0.5638,1.6851,15
10/16/25,Arroyo,,0.8479,1.6851,15
10/16/25,Arroyo,,1.2361,1.6851,15
10/16/25,Arroyo,,0.6517,1.6851,15
10/16/25,Arroyo,,0.7095,1.6851,15
10/16/25,Hills,,1.3216,1.8274,15
10/16/25,Hills,,1.1942,1.8274,15
10/16/25,Hills,,1.2196,1.8274,15
10/16/25,Hills,,0.9357,1.8274,15
10/16/25,Hills,,1.2178,1.8274,15
10/16/25,Hills,,0.8235,1.8274,15
10/16/25,Hills,,1.1038,1.8274,15
10/16/25,Hills,,0.6842,1.8274,15
10/16/25,Harmon,,0.5938,1.7333,15
10/16/25,Harmon,,1.1959,1.7333,15
10/16/25,Harmon,,1.0253,1.7333,15
10/16/25,Harmon,,1.2769,1.7333,15
10/16/25,Harmon,,1.1614,1.7333,15
10/16/25,Harmon,,1.3327,1.7333,15
10/16/25,Harmon,,1.5245,1.7333,15
10/16/25,Harmon,,1.8947,1.7333,15
10/16/25,Willoughby,,1.1875,1.7372,15
10/16/25,Willoughby,,1.2479,1.7372,15
10/16/25,Willoughby,,0.4628,1.7372,15
10/16/25,Willoughby,,0.4939,1.7372,15
10/16/25,Willoughby,,0.6061,1.7372,15
10/16/25,Willoughby,,0.4823,1.7372,15
10/16/25,Willoughby,,0.6574,1.7372,15
10/16/25,Willoughby,,0.5475,1.7372,15
